INFO 2020-11-24 19:36:52,025 autoreload 16476 31984 Watching for file changes with StatReloader
INFO 2020-11-24 19:36:58,616 autoreload 28156 19436 Watching for file changes with StatReloader
INFO 2020-11-24 19:37:10,034 basehttp 28156 32224 "GET /api/match/?ordering=name HTTP/1.1" 200 780
INFO 2020-11-24 19:37:39,782 basehttp 28156 32224 "GET /api/match/?ordering=start_time HTTP/1.1" 200 780
INFO 2020-11-24 19:37:55,712 autoreload 28156 19436 C:\Users\navee\Desktop\Spectate888_new\spectate888\settings.py changed, reloading.
INFO 2020-11-24 19:37:57,230 autoreload 34424 32176 Watching for file changes with StatReloader
INFO 2020-11-24 19:39:46,871 basehttp 34424 18340 "GET /api/match/ HTTP/1.1" 200 780
INFO 2020-11-24 19:53:44,806 basehttp 34424 18340 "GET /api/match/?name=Real%20Madrid%20vs%20Barcelona HTTP/1.1" 200 158
INFO 2020-11-24 20:01:34,033 basehttp 34424 18340 "GET /api/match/8661032861909884224 HTTP/1.1" 301 0
INFO 2020-11-24 20:01:34,054 basehttp 34424 18340 "GET /api/match/8661032861909884224/ HTTP/1.1" 200 379
INFO 2020-11-24 20:05:58,094 basehttp 34424 18340 "GET /api/match/?sport=football&ordering=start_time HTTP/1.1" 200 780
INFO 2020-11-24 20:12:00,096 basehttp 34424 18340 "GET /api/match/?sport=football HTTP/1.1" 200 780
INFO 2020-11-24 20:15:19,136 basehttp 34424 18340 "GET /api/match/?ordering=name HTTP/1.1" 200 780
INFO 2020-11-24 20:18:03,538 basehttp 34424 18340 "GET /api/match/?ordering=start_time HTTP/1.1" 200 780
INFO 2020-11-24 20:25:59,601 basehttp 34424 18340 "GET /api/match/?ordering=start_time&sport=football HTTP/1.1" 200 780
INFO 2020-11-24 20:26:13,393 basehttp 34424 18340 "GET /api/match/?ordering=-start_time&sport=football HTTP/1.1" 200 780
INFO 2020-11-24 20:27:53,295 basehttp 34424 18340 "GET /api/match/?ordering=-start_time&sport=football HTTP/1.1" 200 780
INFO 2020-11-24 20:28:02,614 basehttp 34424 18340 "GET /api/match/?ordering=start_time&sport=football HTTP/1.1" 200 780
INFO 2020-11-24 20:29:27,338 basehttp 34424 18340 "GET /api/match/?ordering=-start_time&sport=football HTTP/1.1" 200 780
WARNING 2020-11-24 21:10:14,880 log 34424 31652 Not Found: /
WARNING 2020-11-24 21:10:14,881 basehttp 34424 31652 "GET / HTTP/1.1" 404 2030
INFO 2020-11-24 21:10:16,569 basehttp 34424 31652 "GET /admin/ HTTP/1.1" 200 8405
INFO 2020-11-24 21:10:16,587 basehttp 34424 31652 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:16,590 basehttp 34424 18380 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:16,590 basehttp 34424 21620 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:16,591 basehttp 34424 31632 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:16,591 basehttp 34424 25936 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,361 basehttp 34424 25936 "GET /admin/ HTTP/1.1" 200 8405
INFO 2020-11-24 21:10:20,443 basehttp 34424 25936 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,457 basehttp 34424 31632 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,457 basehttp 34424 25936 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,525 basehttp 34424 25936 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,525 basehttp 34424 31632 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2020-11-24 21:10:20,525 basehttp 34424 21620 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,077 basehttp 34424 21620 "GET /admin/core/selection/ HTTP/1.1" 200 9202
INFO 2020-11-24 21:10:28,109 basehttp 34424 21620 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,112 basehttp 34424 31632 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,112 basehttp 34424 18380 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,112 basehttp 34424 31652 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,115 basehttp 34424 21620 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,121 basehttp 34424 31424 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,122 basehttp 34424 31632 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,124 basehttp 34424 18380 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,125 basehttp 34424 31652 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:28,128 basehttp 34424 25936 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:10:28,181 basehttp 34424 25936 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2020-11-24 21:10:34,136 basehttp 34424 25936 "GET /admin/core/sport/ HTTP/1.1" 200 7327
INFO 2020-11-24 21:10:34,166 basehttp 34424 25936 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:10:41,539 basehttp 34424 25936 "GET /admin/core/sport/add/ HTTP/1.1" 200 6880
INFO 2020-11-24 21:10:41,561 basehttp 34424 25936 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:41,561 basehttp 34424 18380 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:41,566 basehttp 34424 31652 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:10:41,579 basehttp 34424 31652 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2020-11-24 21:10:41,579 basehttp 34424 18380 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2020-11-24 21:10:47,976 basehttp 34424 18380 "POST /admin/core/sport/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:10:48,018 basehttp 34424 18380 "GET /admin/core/sport/ HTTP/1.1" 200 7726
INFO 2020-11-24 21:10:48,046 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:10:48,070 basehttp 34424 18380 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2020-11-24 21:11:13,567 basehttp 34424 18380 "GET /admin/core/market/ HTTP/1.1" 200 7993
INFO 2020-11-24 21:11:13,675 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:11:18,399 basehttp 34424 18380 "GET /admin/core/selection/ HTTP/1.1" 200 9202
INFO 2020-11-24 21:11:18,426 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:11:23,494 basehttp 34424 18380 "GET /admin/core/selection/add/ HTTP/1.1" 200 7363
INFO 2020-11-24 21:11:23,526 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:13:09,998 basehttp 34424 18380 "POST /admin/core/selection/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:13:10,082 basehttp 34424 18380 "GET /admin/core/selection/ HTTP/1.1" 200 9610
INFO 2020-11-24 21:13:10,112 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:13:15,030 basehttp 34424 18380 "GET /admin/core/selection/add/ HTTP/1.1" 200 7363
INFO 2020-11-24 21:13:15,060 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:13:42,263 basehttp 34424 18380 "POST /admin/core/selection/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:13:42,323 basehttp 34424 18380 "GET /admin/core/selection/ HTTP/1.1" 200 9817
INFO 2020-11-24 21:13:42,352 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:13:44,114 basehttp 34424 18380 "GET /admin/core/selection/add/ HTTP/1.1" 200 7363
INFO 2020-11-24 21:13:44,142 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:14:06,535 basehttp 34424 18380 "POST /admin/core/selection/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:14:06,591 basehttp 34424 18380 "GET /admin/core/selection/ HTTP/1.1" 200 10026
INFO 2020-11-24 21:14:06,698 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:14:10,535 basehttp 34424 18380 "GET /admin/core/market/ HTTP/1.1" 200 7993
INFO 2020-11-24 21:14:10,563 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:14:13,700 basehttp 34424 18380 "GET /admin/core/market/add/ HTTP/1.1" 200 8517
INFO 2020-11-24 21:14:13,730 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:15:00,964 basehttp 34424 18380 "POST /admin/core/market/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:15:01,010 basehttp 34424 18380 "GET /admin/core/market/ HTTP/1.1" 200 8407
INFO 2020-11-24 21:15:01,040 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:15:08,100 basehttp 34424 18380 "GET /admin/core/match/ HTTP/1.1" 200 7981
INFO 2020-11-24 21:15:08,208 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:15:12,251 basehttp 34424 18380 "GET /admin/core/match/add/ HTTP/1.1" 200 10670
INFO 2020-11-24 21:15:12,279 basehttp 34424 31652 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2020-11-24 21:15:12,279 basehttp 34424 25936 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2020-11-24 21:15:12,286 basehttp 34424 18380 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:15:12,454 basehttp 34424 18380 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2020-11-24 21:15:12,455 basehttp 34424 25936 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2020-11-24 21:17:57,874 basehttp 34424 25936 "POST /admin/core/match/add/ HTTP/1.1" 302 0
INFO 2020-11-24 21:17:57,918 basehttp 34424 25936 "GET /admin/core/match/ HTTP/1.1" 200 8442
INFO 2020-11-24 21:17:57,957 basehttp 34424 25936 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
INFO 2020-11-24 21:18:20,422 basehttp 34424 18340 "GET /api/match/?sport=golf HTTP/1.1" 200 145
INFO 2020-11-24 21:18:48,444 basehttp 34424 25936 "GET /admin/core/selection/ HTTP/1.1" 200 9824
INFO 2020-11-24 21:18:48,473 basehttp 34424 25936 "GET /admin/jsi18n/ HTTP/1.1" 200 3187
